,dynasty,author,content,title,keywords
3395,Song,崔敦诗,嶰管今朝应|璿杓昨夜旋|耕桑三万里|一样乐尧天,淳熙二年春帖子词 光尧寿圣宪天体道太上皇帝合六首 其一,乐 尧天 昨夜 耕桑
3490,Ming,屈大均,几载为闲吏|何曾可代农|君前多袒裼|柳下不须恭,秋日挈舟茉莉沙追送孔参军即景口占以赠其行 其七,袒裼 柳下 多 农
3528,Tang,钱珝,斗转月未落|舟行夜已深|有村知不远|风便数声砧,江行无题一百首 其二十八,舟行 斗转 数声 未落
3621,Yuan,赵孟頫,飞泉如玉帘|直下数千尺|新月横帘钩|遥遥挂空碧,天冠山题咏二十二首 其十 玉帘泉,帘钩 新月 遥遥 飞泉
3638,Tang,韦应物,杂英纷已积|含芳独暮春|还如故园树|忽忆故园人,见紫荆花,树 纷 独 暮春
3659,Ming,湛若水,南风苏病骨|出送奉朝行|世德前程在|吹墟上帝京,送吕奉朝舍人来省北归干前程,南风 病骨 苏 朝行
3684,Song,曹勋,浩荡气明絜|慷慨念废兴|何能一念息|空令众愁增,次韵程机宜感怀 其七,慷慨 废兴 念 浩荡
3696,Ming,朱让栩,落日下西苑|深宫风雨多|定嫌苍藓滑|玉辇不曾过,玉阶怨,玉辇 风雨 深宫 落日
3723,Yuan,善住,晚雨过江城|西斋秋气清|梦回孤枕上|无处不虫声,西斋秋夜,梦回 虫声 江城 秋气
3754,Song,方岳,曲士多在今|节士多从古|此君岂易得|仅可一二数,此君室 其五,节士 数 多 曲士
3820,Ming,屈大均,冉冉泰山竹|孤生只自怜|君非松与柏|那得女萝缠,古意 其三,泰山 冉冉 女萝 竹
3864,Song,黄庶,逐处随青草|生来不识愁|旱田乾欲死|拍手也须讴,和刘卿材十咏 其二 牧竖,拍手 欲死 愁 青草
3876,Tang,皎然,不惯人间别|多应忘别时|逢山又逢水|只畏却来迟,留别阎士和,别 水 迟 忘
3956,Song,张栻,岭海坐清静|府公金玉姿|幕府省文书|简编可委蛇,平时兄弟间十三章章四句送定叟弟之官桂林 其十,幕府 金玉 简编 文书
4036,Ming,周瑛,海上风露寒|羽毛半零落|短日修疏翎|去去翔寥廓,题画鹤 其二,寥廓 风露 去去 零落
4048,Song,方岳,凿空为此名|忽已落众口|聊结一间茅|承当作厓叟,山居十六咏 其十五 秋厓,名 众口 作 落
4052,Tang,李端,山舍千年树|江亭万里云|回潮迎伍相|骤雨送湘君,幽居作,湘君 江亭 迎 骤雨
4167,Song,方回,卦之凶者五|否剥未济三|如姤与归妹|深防女败男,后天易吟三十首 其二十七,女 归妹 未济 深防
4196,Ming,邓云霄,秋裳堪制芰|午醉亦𫗦糟|孰识乾坤意|往来半反骚,江上行三十首 其二十四,乾坤 意 午醉 半
4245,Ming,霍与瑕,高歌谁和予|清曲予赓汝|十载旧知音|幽兰芬妙语,送文澜开馆清江用芝山舍弟韵席上 其一,妙语 幽兰 知音 高歌
4279,Ming,景翩翩,三月春无味|杨花惹晓风|莫行流水岸|片片是残红,三月即事,残红 流水 晓风 杨花
4309,Ming,胡应麟,挂锡辞吴峤|支筇入晋关|秋风秋叶里|独向五台山,秋日送僧游五台山二首 其一,支筇 秋风 辞 秋叶
4427,Ming,胡奎,倒著接䍠归|马嘶城下路|太守醉不醒|儿童歌日暮,襄阳童儿歌 其二,城下 马嘶 日暮 儿童
4470,Ming,湛若水,风软旌旗定|山空玉节明|如闻重译语|圣德比周成,北峨驿道中口占四首 其三,玉节 山空 风软 旌旗
4508,Ming,王世贞,长林四周遭|于中可避世|何必学黄公|商山寻地肺,追补姚元白市隐园十八咏 其三 中林堂,避世 长林 周遭 商山
4633,Ming,朱士赞,曾闻幡挂岭|万里翊王师|金鼓仍今日|何因再竖旗,飞来寺胜景古迹 其七 缥翻岭,金鼓 翊 王师 岭
4645,Ming,赵完璧,漙漙草上露|珠玑明日华|岂不照青眼|须臾良可嗟,草露,露 青眼 日华 珠玑
4702,Tang,钱起,野竹通溪冷|秋泉入户鸣|乱来人不到|芳草上阶生,宿洞口馆,野竹 入户 鸣 芳草
4726,Song,喻良能,采采黄金蕊|盈盈白玉觞|露兰何足饮|自觉肺肝香,采菊,白玉 采采 黄金 盈盈
4908,Ming,韩上桂,风劲胡胶折|霜深虏骑迷|向来长技尽|不敢到辽西,塞上曲 其一,胡 风劲 迷 辽西
4958,Song,邵雍,田丹功盖国|貂勃语回君|谤者古来有|犹能杀九人,辩谤吟,功盖 杀 国 君
4996,Song,杨万里,茧馆三眠老|桑村独树春|坐看黄更陨|应有一寒人,芗林五十咏 其二十 柔桑陌,老 独树 黄 寒人
5000,Ming,区大相,江上日烟雨|禅林渺何许|磬声时一闻|不见僧行处,羊城八景 其五 大通烟雨,禅林 烟雨 磬声 僧
5028,Ming,吴与弼,不必劳归梦|琴书已离东|忽惊秋槿盛|人在万花丛,钟潭铺,归梦 盛 琴书 花丛
5141,Ming,孙承恩,终日忆家愁|愁看淮水流|我今方此去|何日是回头,淮河舟中四首 其一,终日 水流 回头 愁看
5150,Song,宇文虚中,鹘健呼风急|乌啼促景残|窟深宜兔蛰|蒲折荫鱼寒,四序回文十二首 其一 冬,风急 残 荫 宜
5153,Ming,谢晋,层楼面沧海|月出预能期|想是凭阑处|人间未见时,题宝积寺八咏 其七 先月楼,凭阑 层楼 沧海 月出
5197,Tang,杜甫,今日翔麟马|先宜驾鼓车|无劳问河北|诸将觉荣华,复愁十二首 其八,马 河北 觉 荣华
5203,Ming,史谨,林壑昼冥冥|松萝覆野亭|一尘飞不到|门外数峰青,题画,门外 林壑 冥冥 数峰
5278,Ming,李之世,飞鸟不敢近|晴天双瀑飞|却从云际望|空翠滴人衣,古冈八景 其四 圭峰瀑布,晴天 云际 飞鸟 空翠
5293,Ming,姚广孝,身外留黄犊|山中耕白云|不随樵子去|无路得寻君,山中见王㽘,寻君 白云 黄犊 山中
5369,Tang,韩偓,细雨桃花水|轻鸥逆浪飞|风头阻归棹|坐睡倚蓑衣,野钓,蓑衣 归棹 桃花 细雨
5508,Song,许及之,干无筇九节|叶类柳三眠|介若此君操|不因霜雪蔫,石竹,筇 柳 操 霜雪
5512,Tang,钱珝,丛菊生堤上|此花长后时|有人还采掇|何必在春期,江行无题一百首 其五十九,春期 丛菊 长 还
5521,Yuan,成廷圭,海上青毛鹤|山中绿发仙|相期采九节|同尔寿千年,题倭僧所画菖蒲小景四首 其一,仙 绿发 山中 鹤
5541,Ming,张子翼,远峰列石城|众水护山郭|禾黍遍郊原|鸡声暗篱落,雨中寓多寻山庄 其五,鸡声 郊原 禾黍 篱落
5548,Song,陆游,地润础流水|气蒸人脱裘|前知暴雨至|孰解老农忧,大雨排闷二首 其一,流水 老农 人 忧
5582,Song,释重显,咄咄休强名|刍狗亦为累|寂寥金粟身|曾未求诸己,答当生不生,寂寥 休 金粟 刍狗
5586,Song,李龏,近舍新为圃|春梅避石开|风兼残雪起|诗思涩难裁,梅花集句 其一六六,残雪 起 难裁 诗思
5599,Song,苏辙,佛口如澜翻|初无一正定|画作正定看|于何是佛性,题李公麟山庄图 华岩堂,佛性 画作 澜翻 看
5613,Tang,唐彦谦,清风摇翠环|凉露滴苍玉|美人胡不纫|幽香蔼空谷,兰二首 其一,清风 幽香 空谷 美人
5631,Song,强至,泠泠西穴间|终日滴甘乳|道傍渴者多|切莫饮豺虎,穴泉,饮 豺虎 终日 泠泠
5635,Song,王安石,风吹洞口云|水动山头月|野老时问人|前村多少雪,题宝岩寺寒碧亭二首 其二,风吹 洞口 野老 山头
5676,Ming,林光,点点抱阳峰|顾恋如子母|欲知无言妙|更问山中叟,九峰十景 其五 焦山夜雨,点点 欲知 山中 子母
5716,Song,刘克庄,穹庐迫淝水|黄屋幸澶州|谢傅方争弈|莱公亦掷骰,即事十绝 其十,穹庐 谢傅 黄屋 淝水
5791,Ming,黄仲昭,鸟道碧苔封|断桥芳草没|峰危似虎蹲|树古如龙屈,梨岭道中十八首 其八,断桥 苔封 鸟道 芳草
5904,Tang,王涯,塞虏常为敌|边风已报秋|平生多志气|箭底觅封侯,塞上曲二首 其二,边风 志气 觅 封侯
5933,Song,郭印,漏泄春光处|山寒已放梅|痴儿元不识|须待百花开,既为谊夫赋坟庐诗乃蒙和韵再成十首为谢兼简韶美以资一噱 其八,漏泄 痴儿 春光 山寒
5948,Song,晁说之,前马去骎骎|年少意有馀|后马追驰骤|喘杀肥髯奴,题两马图,意 骎骎 肥 追
5982,Song,贺铸,樽酒津亭别|还城何所投|无情是流水|断送到南州,怀寄寇元弼王文举十首 其一 初别后,南州 流水 樽酒 断送
6104,Ming,吴高,高僧一挥锡|觱沸自然流|怪得谈经处|能令石点头,卓锡泉,高僧 点头 谈经 石
6180,Ming,魏偁,今夜妾断肠|中天月正明|关山遥注目|不得见夫营,关山月三首 其二,关山 断肠 中天 注目
6193,Song,赵戣,地已还三壤|彝方次九畴|基图天与子|典则我贻谋,咏史二十二首 其三 夏禹,子 贻谋 还 我
6214,Ming,刘崧,乱撒高岩下|多因险势奇|更逢朝日映|五色烂摩尼,武山十四境 其九 真珠泉,朝日 摩尼 奇 岩下
6270,Ming,彭孙贻,才过黄金峡|铜盆又锡洲|客愁共江水|日夜两悠悠,铜盆锡洲,江水 悠悠 黄金 客愁
6288,Tang,苏颋,息燕归檐静|飞花落院闲|不愁愁自著|谁道忆乡关,山驿闲卧即事,飞花 忆 谁道 乡关
6317,Yuan,王彝,云麓最高层|依依月乍升|聊因看贝叶|带露一来登,狮子林十四首 其六 翻经台,登 带露 层 贝叶
6335,Ming,李昌祺,病来成懒惰|兀兀惟孤坐|火冷篆烟消|风帘柳花堕,独坐,篆烟 惟 柳花 风帘
6378,Ming,郭正域,何处移来石|堆成五老峰|五老相对语|石丈今成翁,郭比部花园十二首 其十 五老峰,语 翁 峰 石
6410,Song,文天祥,浮云连海岱|寒芜际碣石|落景惜登临|人烟渺萧瑟,北行第九十二,萧瑟 浮云 人烟 碣石
6512,Ming,何景明,煦日枫林赤|含风菊蕊黄|家家白酒热|何处过重阳,小景四首 其三,重阳 枫林 白酒 家家
6515,Ming,区越,性闲慵阅世|逐伴过东林|丹颊非关酒|兴来只朗吟,半醉,东林 慵 阅世 朗吟
6558,Song,晁公溯,临池可手揽|何似湘水中|冥冥望北渚|木末有芙蓉,眉州燕游杂咏十首 其九 摇香亭,芙蓉 湘水 冥冥 木末
6560,Song,陆文圭,野塘落芙蕖|下有潜鳞跃|渔多罟日深|圉圉方自乐,秋塘观鱼,野塘 落 芙蕖 深
6591,Song,龙辅,若得共此栖|松菊长携手|岸上数株松|何须减五柳,山中寄外 其四,松菊 携手 松 数株
6703,Song,刘克庄,恍惚疑如在|缠绵爱未休|明知已仙去|犹欲出神求,杂咏一百首 其九十二 李夫人,缠绵 仙去 恍惚 未休
6783,Yuan,虞集,参差不可吹|纫佩寄远道|遂令如石心|岁晚永相好,题汪华玉子昂兰石 其二,寄 岁晚 吹 远道
6806,Ming,刘崧,月落山正昏|群乌乱鸣起|客子中夜行|相呼渡烟水,月落,烟水 月落 中夜 客子
6820,Ming,王世贞,偶从清颍得|乞食焦山僧|一饱便无事|却挂焦山藤,郭山人六绝句 其四 瓢,山僧 乞食 焦 藤
6871,Ming,张时彻,残月宝刀白|微霜陇树黄|笛中闻折柳|那得不思乡,陇头流水歌三叠 其三,残月 微霜 思乡 折柳
6982,Ming,高启,紫丝浮半滑|波上老秋风|忆共香菰荐|吴江叶艇中,莼菜,浮 秋风 中 吴江
6984,Song,王十朋,主人端不俗|景物亦相宜|手种轩前桂|联芳共几枝,渊源堂十二诗 其三 宜桂轩,手种 主人 景物 俗
7021,Song,梅尧臣,携手出中闺|殷勤尅密期|密期虽不远|回顾步迟迟,拟玉台体七首 其二 携手曲,步 携手 迟迟 殷勤
7071,Song,许尚,庙貌逾千祀|泥封古碣昏|传云素王宅|真赝与谁论,华亭百咏 其三十五 孔宅,昏 庙貌 泥封 宅
7086,Song,王安中,合合林鸠起|巡方舜旧游|声虽暨南朔|事罕记春秋,枣阳道中,记 春秋 旧游 起
7224,Ming,程敏政,习习风初度|萋萋绿正匀|谁将方寸地|散作十分春,题吴恺举人春草,初度 习习 散作 萋萋
7316,Song,欧阳修,香黍筒为粽|灵苗艾作人|芳音邈已远|节物自常新,端午帖子 温成合四首 其一,灵苗 邈 节物 作人
7388,Song,方蒙仲,万里载梅归|道是春来路|那知春到时|梅已随风去,以诗句咏梅 万里春随远客来,去 春 载梅 归
7415,Ming,陶琛,玉泉百尺深|古甃涵光冷|何以鉴虚明|差差鹿卢影,冰壶井,影 涵 玉泉 虚明
7431,Song,寇准,秋风故关路|蝉噪日斜时|有客驱征马|茫茫天一涯,途次三绝 其一,蝉噪 秋风 茫茫 日斜
7445,Ming,陈献章,声从窦中来|可以塞天地|借问采薇人|便知风动处,湖西九岩为一峰题 其三 清风岩,天地 借问 塞 采薇
7454,Ming,孙承恩,晴洲映花柳|春水生蘼芜|朝来渔舟集|网得松江鲈,再题西湖十景为汤宜野作 其一,蘼芜 渔舟 春水 花柳
7461,Ming,李梦阳,银瓮烂生光|盘龙绣袱香|但知从内出|不省赐何王,东华门偶述,王 盘龙 香 烂
7481,Ming,屈大均,一唇有数珠|大小相连缀|采珠乘月圆|扬帆入龙穴,珠人曲 其一,扬帆 大小 圆 乘月
7571,Ming,王世贞,匏系何烦惜|膏明也并烧|积时甘在下|炊后始知劳,朔日邑送薪盈庭感而有赋 其一,惜 烧 甘 劳
7577,Yuan,屠性,美人湘浦去|翠袖倚琅玕|横笛吹霜晓|遥知不耐寒,竹梅,琅玕 美人 横笛 翠袖
7597,Song,苏辙,清溪便种稻|秋晚连云熟|不待见新舂|西风芗自足,题李公麟山庄图 云芗阁,清溪 秋晚 西风 熟
7610,Song,项安世,日日长沙岸|看云只念家|如何永州梦|偏梦在长沙,永州,日日 岸 长沙 看云
7626,Ming,林大辂,旅梦醒啼鸟|晴窗日欲斜|还将多病眼|闲看续开花,暮春直省,闲看 啼鸟 开花 晴窗
7635,Ming,曹义,载酒临官道|黄花笑客衣|几多离别思|都逐雁南飞,送黎知州恬之南京,黄花 离别 南飞 载酒
7678,Ming,皇甫汸,蛱蝶幻花丛|因风自飞舞|移将漆园中|梦寐同栩栩,张比部园玩仙掌蛱蝶花二首 其二,蛱蝶 园中 花丛 梦寐
7692,Song,释德洪,松下朅来见|依然冰雪颜|未须惊世故|且复卧看山,粹中自郴江莹中与南归时余在龙山容泯斋为诵唐诗入郭随缘住思山破夏归之句为韵十首 其七,冰雪 卧 看山 松下
7712,Ming,徐熥,佛火悬青嶂|钟声下翠微|萧萧风雪夜|犹有一僧归,逢雪宿华严阁,翠微 萧萧 风雪 钟声
7737,Song,洪适,塞耳可治聋|下咽多去病|九曝不辞劳|蚤衰谙药性,杂咏下 地簧,多 治聋 谙 劳
7789,Song,陆文圭,吟苦不成寐|寒窗凝夜缸|千古谁知心|遥遥贾长江,雪夜不寐偶成短句十首用渭北春天树江东日暮云为韵 其六,寒窗 遥遥 谁知 长江
7826,Ming,李梦阳,君居楚城里|我傍楚城过|相思连夜发|无柰是江波,过夏口寄恽君,江波 楚 城里 发
7840,Ming,余寅,烟莽忽离离|溪光荡不持|秋从何处到|早已白苹知,雨中全司马公游茂屿,离离 知 荡 溪光
7876,Ming,霍与瑕,昨夜雪霏霏|今朝风乍微|桃花间菜花|春色竞芳菲,早春即事和韵 其二,春色 芳菲 昨夜 霏霏
7908,Yuan,徐贲,屿鸟鸣孤影|汀苹淡素香|晓来江上树|叶叶是新霜,题画 其一,新霜 孤影 淡 叶叶
7918,Ming,王恭,烟柳拂波声|霜衣泛日明|青山对孤影|宁倦五湖情,柳塘鹭鸾,波声 烟柳 孤影 青山
7945,Ming,林光,新妇背潭立|潭深不肯看|还嫌潭内水|风起亦生澜,过新妇潭二首 其二,风起 新妇 水 背
7959,Ming,罗伦,铁骑锁东风|残花野兴浓|玉梅犹在此|消息自天通,丙午十月初三日梦,铁骑 东风 消息 残花
8007,Ming,张钥,春日入郊墟|孤村隐烟树|犬吠买茶人|路迷争渡去,定准辰香,犬吠 烟树 春日 孤村
8096,Song,许及之,众卉从争媚|花开始是春|一年春富贵|造物太于人,牡丹,花开 春 造物 富贵
8130,Tang,乐仲卿,□□光华浅|抟风羽翼徽|不能欺暗室|所以带明飞,咏萤,浅 羽翼 抟风 光华
8160,Ming,符锡,空林寒日薄|古道行人稀|渺渺烟光外|惟馀倦翼归,扇面,渺渺 古道 空林 行人
8209,Ming,项兰贞,步月下庭除|萤飞花影侧|露下不知寒|鸣蛩动秋色,步月 其一,露下 庭除 秋色 花影
8375,Ming,彭孙贻,西风枕簟寒|凉梦浸衣湿|起坐悄无人|空阶啼蟋蟀,不寐四首 其二,空阶 蟋蟀 西风 枕簟
8472,Ming,胡应麟,松柏啼乌鸟|楸梧下鹤群|咫尺亲颜在|无劳望白云,瞻堂十景为大参徐公作 其七 咫尺松楸,松柏 白云 鸟 咫尺
8481,Ming,刘崧,深林昨夜雨|新笋几时生|似觉清风动|微闻坠露声,余为善举写墨竹因题二绝其上 其一,深林 微闻 清风 昨夜
8531,Song,欧阳修,蔼蔼珠帘日|溶溶碧瓦烟|漪涟采荇水|和暖浴蚕天,春帖子词 皇后合五首 其二,珠帘 碧瓦 蔼蔼 溶溶
8556,Song,王十朋,再入山中去|烟霞锁翠微|故乡遗宅在|何日更来归,剡溪杂咏 阮仙翁宅,翠微 烟霞 锁 山中
8600,Song,晁公溯,有风地鸣籁|无风石抱云|上人如宴坐|不可堕声闻,中岩十八咏 其七 风穴,声闻 堕 地 石
8618,Tang,李白,天下伤心处|劳劳送客亭|春风知别苦|不遣柳条青,劳劳亭,送客 天下 伤心 柳条
8731,Yuan,陈镒,寂历何年树|槎牙傍水村|霜风吹叶尽|秋色落云根,题买从道枯木石图,云根 霜风 寂历 秋色
8735,Ming,张弼,木落潞河秋|西风射敝裘|久游囊橐尽|惟有钓鱼钩,渔舟 其一,敝裘 木落 西风 钓鱼
8849,Ming,顾璘,旖旎芙蓉花|荡漾木兰楫|相思隔湘水|欲采不可得,咏扇画寄诸故人八首 其四 咏芙蓉寄张南园太常,湘水 木兰 荡漾 芙蓉
8870,Song,郭祥正,翻经人已去|谁为立幽亭|一望野云白|半藏山骨青,和杨公济钱塘西湖百题 其六十八 客儿亭,野云 翻经 幽亭 山骨
9000,Ming,程本立,急难思我弟|万里各漂零|原上西风急|伤心见鹡鸰,乌撒题画四绝 其一 鹡鸰,急难 西风 伤心 鹡鸰
9020,Ming,屠生,红粉溪边石|年年漾落花|五湖烟水阔|何处浣春纱,题西子祠壁,烟水 落花 溪边 年年
9043,Ming,屈大均,怜花及桃叶|怜叶及桃根|古渡烟波上|相迎笑未言,桃叶曲 其一,古渡 桃叶 烟波 桃根
9080,Song,林同,向来父学显|别自以家名|不是能传业|如何著孝声,贤者之孝二百四十首 其九十一 伏湛,名 著孝 声 父
9107,Ming,林大钦,荒阶惟鸟迹|白石亦青苔|起拨云书乱|春风陶一杯,遣怀,鸟迹 青苔 白石 春风
9223,Yuan,李存,美人不可见|烟雨一登楼|隔岸谁家竹|娟娟不解愁,怀友,娟娟 烟雨 登楼 美人
9322,Ming,陈邦彦,客愁馀半榻|乡梦绕千峰|但见竿头日|不闻城上钟,旅怀次林子同韵 其一,乡梦 客愁 钟 半榻
9323,Ming,李东阳,买种已经年|贪看亦云久|未惜雨沾衣|应防刺伤手,荼蘼,久 沾衣 经年 贪看
9362,Song,陈淳,辅仁贵有益|谨毋友善柔|良心放则死|胡为乐佚游,隆兴书堂自警三十五首 其十三,乐 放 柔 贵
9363,Ming,汪礼约,已失东山云|独有东山月|凉风何处来|吹作千峰雪,参差亭 其二,雪 吹作 东山 凉风
9433,Song,宋伯仁,冬冬和歌管|蒉桴无复存|堪笑不知量|以布过雷门,梅花喜神谱 其二十 烂熳二十八枝,歌管 存 量 冬冬
9465,Tang,李华,公子三千客|人人愿报恩|应怜抱关者|贫病老夷门,奉寄彭城公,抱关 人人 报恩 贫病
9535,Song,刘克庄,昕朝避黄屋|露祷动苍穹|野老安知帝|豚蹄赛社公,喜雨五首 其四,野老 苍穹 黄屋 安知
9630,Song,喻良能,田园依峻岭|牵兴每须登|却得台郎力|扶持借赤藤,策杖,力 扶持 借 田园
9695,Ming,周瑛,夜露滴松梢|秋声退残暑|不知九霄梦|凌风高几许,题画鹤 其一,松梢 秋声 凌风 残暑
9751,Tang,李白,彼美汉东国|川藏明月辉|宁知丧乱后|更有一珠归,江夏送倩公归汉东,辉 汉 明月 丧乱
9769,Ming,曹于汴,点检从前事|感应如桴鼓|勿云方寸幽|天公于此睹,省躬诗 其一二六,桴鼓 事 点检 幽
9787,Ming,庄昶,昔日千年调|而今两秃翁|都将无限意|高坐钓船中,题画 其二,调 昔日 秃翁 钓船
9818,Ming,庞尚鹏,一夜风雷起|溪流处处通|五湖天浩荡|烟水更冥濛,雨景,浩荡 烟水 溪流 风雷
9901,Ming,张宁,古人已长往|今人怀未忘|悠悠祠屋里|不断旧炉香,真寂八景 其二 北涧祠,悠悠 炉香 古人 未忘
9987,Song,范成大,制芰亦不急|缊袍堪禦冬|从渠抱枝槁|摵摵鸣霜风,霜后纪园中草木十二绝 其三,急 霜风 缊袍 鸣
9991,Song,杨万里,湖水吞天去|湖风送浪还|银山何处是|青底是君山,题文发叔所藏潘子真水墨江湖八境小轴 其一 洞庭波涨,送 君山 银山 湖水
10075,Song,杨万里,正月十四夜|如何月便团|似知吾辈出|预借上元看,溪边月上二首 其一,出 吾辈 夜 月
10134,Song,杨万里,老夫岂不眠|只是眠未得|若到睡思来|华胥是谁国,将睡四首 其一,睡思 华胥 眠 国
