,dynasty,author,content,title,keywords
361,Ming,王世贞,腰间辘轳剑|错莫无精光|不是芙蓉浅|纯钩北斗傍,过于鳞郡斋分韵赋十二体得傍字,辘轳 北斗 浅 芙蓉
2610,Ming,陈仁锡,守卫勿准状|军牢勿下乡|指挥戒私敛|牧夫急贤良,江心道中 其七,敛 急 指挥 乡
2684,Ming,郭之奇,心清秋许见|山远暮能光|微著烟云色|所思不可方,所见四首 其四,山远 烟云 光 心清
2949,Song,金朋说,齐家先正己|标准自吾身|动息从心里|规模卫武箴,齐家吟,规模 里 己 卫武
3143,Song,章甫,窗间耿残灯|屋角照落月|披衣启柴关|呼帚扫黄叶,秋晓 其一,残灯 落月 屋角 柴关
3688,Ming,韩邦奇,狂风吹古月|肠断白杨声|寒雪梅中尽|空歌怀友生,狱中集古十六首东岩同扉 其六,空歌 白杨 肠断 狂风
4100,Song,徐应镳,二男并一女|随我上梯云|烈士甘焚死|丹心照紫雯,绝命词,甘 丹心 梯云 烈士
4623,Song,曾几,元祐几阅岁|诸公一无遗|吾舅典型在|神明力扶持,遗直堂 其五,扶持 神明 岁 典型
5102,Song,王十朋,故乡从此去|借问几时还|先自思兄弟|那堪宿雁山,宿罗汉三绝 其三,借问 宿 兄弟 思
5230,Ming,黄省曾,唤郎郎不应|郎自城中回|县官加粮税|面色如土灰,子夜歌 其五,县官 郎 灰 城中
5807,Song,宋祁,瑞历岁惟新|物华春可爱|雪尽林弄姿|冰销水生态,春帖子词夫人阁十首 其七,岁 物华 林 水
5813,Song,宋祁,氐丑矜凶甚|临流列万幢|由来不自项|何荷欲浮江,过淝口二首 其二,浮江 项 幢 欲
6020,Song,楼淳,凤鸟久不至|哲人叹已矣|空留千载名|寂寞残阳里,隐居凤山清明寺 其一,哲人 凤鸟 寂寞 残阳
6183,Ming,区越,笛远归渔急|芦轻扑酒飞|偶然云水趣|宁占白鸥矶,溪行,急 云水 白鸥 飞
6311,Song,王诜,清影十分月|暗香干柄莲|不知从此别|高会复何年,颍昌湖上赠诸公,清影 干 暗香 别
6659,Tang,施肩吾,乞巧望星河|双双并绮罗|不嫌针眼小|只道月明多,乞巧词,绮罗 星河 月明 乞巧
7027,Tang,王维,日日采莲去|洲长多暮归|弄篙莫溅水|畏湿红莲衣,皇甫岳云溪杂题五首 莲花坞,衣 日日 红莲 采莲
7069,Song,王十朋,前山名胜己|夔子有嘉宾|馆辟自予始|愧非贤主人,十八坊诗 礼宾,主人 嘉宾 贤 名胜
7169,Ming,卢龙云,天阍谁道远|江上却名山|多少朝天者|时从此地还,天门山二首 其一,名山 朝天 谁道 天阍
7252,Tang,卢仝,兰兰是小草|不怕郎君骂|愿得随君行|暂到嵩山下,萧宅二三子赠答诗二十首 其十五 马兰请客,郎君 小草 君行 山下
7589,Tang,不详,一双青乌子|飞来五两头|借问船轻重|寄信到扬州,涟水古冢瓶文,扬州 轻重 借问 头
7668,Ming,陈䞇,锡影凌秋云|深入千峰住|他日欲相寻|清钟响何处,送方外上人,他日 响 秋云 深入
7674,Song,王十朋,善鸣聊自适|不愿遇知音|深恐山阴妪|误猜君子心,书院杂咏 鹅,君子 山阴 知音 遇
7769,Yuan,陈赓,林壑冷含秋|风雨黯如海|何如赞公房|青灯淡相对,蒲中八咏为师岩卿赋 其五 东林夜雨,青灯 风雨 林壑 淡
8237,Yuan,张昱,共是他乡客|从游又隔年|老人偏惜别|把臂一茫然,别乡友,隔年 老人 他乡 惜别
8397,Ming,庄昶,一见雪满颅|能不怀平生|谁将单父台|画此作西铭,题萧尹翎毛 其三,雪满 谁将 台 怀
8693,Song,王十朋,江上风波恶|江中洲渚多|回头三峡远|转盼七矶过,七矶,洲渚 回头 转盼 风波
9308,Yuan,杨弘道,郁郁薶高树|茫茫见碧岑|风声成万籁|云影落轻阴,南涧,风声 茫茫 云影 高树
9382,Ming,胡奎,朝出习家池|山公倒按罗|归时太守醉|笑杀襄阳儿,襄阳小儿歌 其一,笑杀 习家 儿 襄阳
9561,Ming,王汝玉,青松郁如盖|下有兔爰爰|徘徊知何事|应待望舒圆,咏兔 其二,圆 郁 青松 徘徊
9998,Song,欧阳修,洛城风日美|秋色满蘅皋|谁同茂林下|扫叶酌松醪,初秋普明寺竹林小饮饯梅圣俞分韵得亭皋木叶下五首 其二,林下 风日 秋色 松醪
10484,Song,贺铸,近砌掷鸣签|长檐悬素绠|湿翅暝鸦归|高梧落寒井,和陈传道秋日十咏 其一 秋雨,暝 落 高梧 悬
10533,song,欧阳修,春岩瀑泉响|夜久山已寂|明月净松林|千峰同一色,自菩提步月归广化寺,夜久 松林 明月 瀑泉
10560,Song,欧阳修,山色无远近|看山终日行|峰峦随处改|行客不知名,远山,看山 知名 终日 山色
10585,Song,李清照,金环半后礼|钩弋比昭阳|春生百子帐|喜入万年觞,春帖子 贵妃阁,觞 昭阳 帐 半
10711,Song,晏殊,开从百花后|占断群芳色|更作琴轸房|轻盈琐窗侧,石榴,占断 琐窗 群芳 轻盈
10792,Song,欧阳修,宝典标灵日|明离正午方|五行当火德|万寿续天长,端午帖子 皇帝合六首 其三,天长 续 日 火德
10800,Tang,韦庄,梦觉笙歌散|空堂寂寞秋|更闻城角弄|烟雨不胜愁,饮散呈主人,空堂 烟雨 笙歌 寂寞
10860,Song,欧阳修,朝闻惊禽去|日暮见禽归|瑶琴坐不理|含情复为谁,拟玉台体七首 落日窗中坐,见 日暮 瑶琴 含情
10988,Song,贺铸,池上雪初消|春鸦已占巢|自怜流寓迹|无地可诛茅,题海陵寓舍二首 其二,初消 雪 迹 诛茅
11034,Song,欧阳修,黄金仙杏粉|赤玉海榴房|共斗今朝胜|盈襜百草香,端午帖子 夫人合五首 其二,香 海榴 黄金 胜
11045,Song,贺铸,昔人泯黄壤|陈迹变沧波|劫火洞然坏|无如嘉句何,和邠老郎官湖怀古五首 其三,劫火 陈迹 昔人 沧波
11396,Song,贺铸,可怜明月光|委曲照空床|自是元无梦|更悲今夜长,寒宵叹,委曲 空床 光 明月
11439,Song,贺铸,雏雀学翻飞|不知毛羽微|青鵳笑高树|待尔饱朝饥,感兴六首 其一,翻飞 微 毛羽 高树
11448,Song,欧阳修,天清槐露浥|岁熟麦风凉|五日标嘉节|千龄献寿觞,端午帖子词 皇帝合六首 其一,露浥 天清 献寿 风凉
11506,Song,贺铸,游梁复归宋|南北更相送|失得两如何|劳劳不如梦,答陈传道五首 其二,送 南北 游梁 劳劳
11508,Song,欧阳修,御水冰销绿|宫梅雪压香|新年贺交泰|白日渐舒长,春帖子词 皇后合五首 其一,白日 雪压 绿 新年
11629,Song,贺铸,高岸已为谷|斯人如蜕蝉|固应留宝刻|信示当家仙,江夏八咏 其三 祖贯墓铭,高岸 仙 刻 谷
11681,Song,贺铸,南津赵佗石|云是昔人舟|长怀精卫志|不碍长江流,江夏八咏 其六 赵佗石,长江 精卫 长怀 昔人
11713,Song,贺铸,南城空目送|西馆断心期|悬知今夜思|明灯半下帷,和王文举玉台体,目送 悬知 心期 下帷
11778,Song,贺铸,白也遭时网|临年放夜郎|何妨去物远|当道横豺狼,和邠老郎官湖怀古五首 其二,郎 网 豺狼 横
12418,Song,欧阳修,楚俗传筒黍|江人喜竞船|深宫亦行乐|彩索续长年,端午帖子词 夫人合五首 其三,行乐 长年 深宫 喜
12443,Tang,韦庄,闻莺才觉晓|闭户已知晴|一带窗间月|斜穿枕上生,春早,晴 闻莺 晓 闭户
12494,Song,秦观,五里乔松径|千年古道场|泉声与岚影|收拾入僧房,游杭州佛日水净慧寺,泉声 古道 收拾 僧房
12548,Song,欧阳修,北临白云涧|南望清风阁|出树见人行|隔溪闻鱼跃,和人三桥 其二,白云 清风 人行 南望
12627,Song,秦观,霞通海天曙|月来东山白|共是凭栏人|谁足当秋色,光华寺,海天 凭栏 东山 秋色
12812,Song,贺铸,何处延明月|东城百尺楼|故人那得见|后夜是中秋,怀寄寇元弼王文举十首 其六 登黄楼,东城 楼 中秋 明月
13120,Song,贺铸,梅梁巢已空|去此复何从|勿惮归飞远|冰霜不尔容,和陈传道秋日十咏 其九 秋燕,巢 冰霜 归飞 远
13287,Song,李清照,学诗三十年|缄口不求知|谁遣好奇士|相逢说项斯,分得知字韵,士 谁遣 学诗 好奇
13332,Song,贺铸,不见会之久|每思诗酒豪|扁舟由甬上|乘兴可须招,怀寄彭城朋好十首 其七 王十三,诗酒 乘兴 扁舟 招
14178,Song,贺铸,扁舟彼何人|国霸始谋身|不知钓鱼翁|羞作故人臣,感兴六首 其六,臣 翁 扁舟 钓鱼
14183,Song,贺铸,闻有高秋兴|清樽醉飞鸿|应悲故人远|薄晚面西风,答陈传道五首 其四,飞鸿 西风 清樽 高秋
14188,Song,欧阳修,午位星杓正|人间令节同|四时和玉烛|万物被薰风,端午帖子词 皇帝合六首 其二,薰风 午位 玉烛 星杓
14279,Song,贺铸,试问江南客|何时肯度杯|多情是湖水|每日石头来,怀寄清凉和上人二首 其二,石头 多情 湖水 试问
14422,Song,贺铸,纷纷脱柯叶|衮衮断根蓬|不待吹扬力|随风亦自东,和陈传道秋日十咏 其六 秋风,衮衮 力 纷纷 东
14767,Song,秦观,公子歌钟里|何从识渺茫|惟应斗帐梦|曾到水云乡,题赵团练画江干晚 景四绝 其三,水云 渺茫 斗帐 歌钟
14919,Song,贺铸,寇叔情何厚|邮筒数得书|前春应上冢|能访酒家无,怀寄彭城朋好十首 其九 寇十一,数 厚 酒家 邮筒
14951,Song,贺铸,东轩美风月|诗酒伴欢呼|昨日墙阴过|依依见碧芦,怀寄寇元弼王文举十首 其二 过碧芦轩,墙阴 诗酒 风月 昨日
15384,Song,贺铸,杨华吹复尽|春色但茫茫|独立西楼上|持情向夕阳,春晚楼上,西 夕阳 春色 茫茫
15441,Song,周邦彦,冬曦如村酿|奇温止须臾|行行正须此|恋恋忽已无,曝日,村酿 恋恋 奇温 行行
15571,Song,贺铸,衮绣行将复|沙堤百里东|病夫虽老矣|犹解赋豳风,送王西枢出镇郑圃八首 其八,沙堤 豳风 衮绣 行将
15698,Song,贺铸,不见江南客|愿听江南钟|倾耳度遥夜|天寒多北风,怀寄清凉和上人二首 其一,北风 倾耳 天寒 江南
16678,Song,贺铸,门阑曳裾客|皆自许人豪|今日宸廷下|谁知北郭骚,送王西枢出镇郑圃八首 其七,曳裾 门阑 北郭 谁知
16767,Song,欧阳修,画扇催迎暑|灵符喜辟邪|风光丽宫禁|时节重仙家,端午帖子词 皇后合五首 其一,画扇 仙家 风光 喜
16790,Song,晏殊,浅艳侔莺羽|纤条结兔丝|偏凌早春发|应诮众芳迟,迎春花,迟 众芳 结 发
16853,Song,贺铸,偶得悲秋句|还惊旧社空|中庭步明月|朗咏与西风,怀寄寇元弼王文举十首 其十 赋后诗,悲秋 西风 还惊 明月
16867,Song,欧阳修,天容清永昼|风色秀含薰|五日逢佳节|千龄奉圣君,端午帖子 皇帝合六首 其一,佳节 圣君 秀 风色
17070,Song,晏殊,苒苒渭滨族|萧萧尘外姿|如能乐封殖|何必醉中移,竹醉日,尘外 醉中 萧萧 苒苒
17101,Song,贺铸,悠悠复悠悠|泪寄东风流|所思怅何许|西北齐云楼,和同行潘生悒悒悠悠二首 其二,悠悠 楼 东风 西北
17210,Song,贺铸,笼灯耿欲灭|枕下虫声切|底许事相关|煎人肠断绝,梦后闻蛩,事 肠断 虫声 绝
17403,Tang,李煜,侁自肩如削|难胜数缕绦|天香留凤尾|馀煖在檀槽,书琵琶背,天香 凤尾 檀槽 难胜
17497,Song,贺铸,宿雨尘霾静|寒原黍稷空|临风聊放目|不为送飞鸿,和陈传道秋日十咏 其七 秋望,寒原 宿雨 飞鸿 黍稷
17759,Song,秦观,曲水分山阴|舆梁胜溱洧|一咏见高风|驷马安足取,流杯桥,高风 山阴 驷马 曲水
17780,Song,欧阳修,冷雨涨焦陂|人去陂寂寞|惟有霜前花|鲜鲜对高阁,绝句,冷雨 高阁 人去 寂寞
17945,Song,贺铸,帷幄参神算|边尘万里清|西藩聊偃息|犹是一长城,送王西枢出镇郑圃八首 其二,边尘 长城 帷幄 偃息
18303,Song,贺铸,来暖西枢席|斯民赖已多|前春凤池水|四海涨恩波,送王西枢出镇郑圃八首 其六,涨 凤池 席 恩波
18981,Song,欧阳修,舜舞来遐俗|尧仁浃九区|五兵消以德|何用赤灵符,端午帖子词 皇帝合六首 其三,浃 赤 灵符 消
19006,Song,欧阳修,珠箔凉飔入|金壶昼刻长|鸾台尘不动|销尽故时香,端午帖子 温成合四首 其二,尘 珠箔 凉飔 金壶
19032,Song,贺铸,霜空出华月|樽酒聊相对|别夜复婵娟|故人千里外,和陈传道秋日十咏 其五 秋月,樽酒 霜空 华月 婵娟
19233,Song,贺铸,果尽犹招手|车停更起尘|固应持一笑|先答近辕人,拟刘孝胜咏安仁得果,招手 持 人 尘
19317,Song,欧阳修,气候三阳始|勾萌万物新|雷声初发号|天下已知春,春帖子词 皇帝合六首 其三,初发 天下 雷声 气候
19706,Song,秦观,晓浦烟笼树|春江水拍空|烦君添小艇|画我作渔翁,题赵团练画江干晚 景四绝 其四,小艇 烦君 春江 渔翁
19708,Song,贺铸,庙堂击鲜食|日负天下责|不知五湖上|自有扁舟客,感兴六首 其五,天下 庙堂 扁舟 食
19842,Song,欧阳修,百啭千声随意移|山花红紫树高低|始知锁向金笼听|不及林间自在啼,画眉鸟,高低 金笼 红紫 山花
20285,Song,秦观,青笺擘处银钩断|红袂分时五箸悬|云脚渐收风色紧|半规斜日射归船,呈李公择,银钩 斜日 风色 归船
21269,Song,贺铸,鸡声犬吠远相望|社酒登槽唤客尝|晓日晴明陂更阔|风吹荞麦蜜花香,和崔若拙四时田家词四首 其三,犬吠 鸡声 花香 晓日
21340,Song,秦观,弱云亭午弄春娇|高柳无风妥翠条|懒读夜书搔短发|隔垣时听卖饧箫,春词绝句五首 其二,亭午 高柳 弄 短发
21915,Song,欧阳修,素幕悠悠逗晓风|行随哀挽出深宫|妃嫔莫向苍梧望|云覆昭陵洛水东,续作永昭陵挽词五首 其四,苍梧 悠悠 深宫 晓风
23349,Song,欧阳修,弊居回看如蛙穴|华宇来栖若燕身|敢望笙歌行乐事|只忧无米过来春,戏答仲仪口号,行乐 回看 笙歌 敢望
24116,Song,张先,清卿恩德重鳌山|诗寄闲栖白首官|须信夜光谁可得|玉龙沉睡玉渊寒,子山再惠诗见和因又续成子山不以予不才两发章荐,夜光 白首 玉龙 鳌山
24254,Song,秦观,颠毛渐脱风情少|匣剑空存侠气销|人远地偏无酒肉|春深花鸟谩相撩,春词绝句五首 其五,侠气 风情 春深 花鸟
24667,Song,秦观,岧峣芸阁上参天|直舍相依欲二年|愿写此情歌挽者|泪沾毫素不成篇,陈用之学士挽词 其二,参天 芸阁 岧峣 泪沾
24957,Song,贺铸,野蔓牵花过短墙|麦秋时节并蚕忙|迎门老父延行客|井汲清甘树荫凉,和崔若拙四时田家词四首 其二,短墙 麦秋 迎门 行客
25143,Tang,韦庄,送君同上酒家楼|酩酊翻成一笑休|正是落花饶怅望|醉乡前路莫回头,东阳酒家赠别二绝句 其一,送君 落花 怅望 回头
25701,Song,贺铸,正西千里是青门|桥下春流带雨浑|想见旧游芳草合|有谁楼上与销魂,泊舟永城寄京都朋游,销魂 带雨 想见 旧游
25727,Song,秦观,弥猴镜里三身现|龙女珠中万象开|未若此轩人散后|水光清泛月华来,照阁,水光 人散 月华 镜里
26265,Song,欧阳修,岁时令节多休宴|风俗灵辰重祓禳|肃穆皇居百神卫|涤邪宁待浴兰汤,端午帖子 皇帝合六首 其四,兰汤 浴 风俗 重
26281,Song,欧阳修,十里长街五鼓催|泥深雨急马行迟|卧听竹屋萧萧响|却忆滁州睡足时,集禧谢雨,竹屋 睡足 萧萧 卧听
26443,Song,晏殊,汨渚沉沉不可追|楚人犹自吊湘累|灵均未免争琼糈|却道蛟龙畏色丝,端午作,灵均 沉沉 未免 蛟龙
26535,Song,欧阳修,东合三朝多大事|营丘二载足闲辞|近诗留作归荣集|何日归田自集诗,题东阁后集,大事 集 归田 留作
26542,Song,欧阳修,那堪多难百忧攻|三十衰容一病翁|却把西都看花眼|断肠来此哭东风,题荐严院,多难 断肠 东风 看花
26755,Song,欧阳修,微风池沼轻澌漾|旭日楼台瑞蔼浮|四海欢声歌帝泽|万家春色满皇州,春帖子词 夫人合五首 其四,旭日 楼台 微风 春色
26908,Song,秦观,七年三过白苹洲|长与诸豪载酒游|旧事欲寻无处问|雨荷风蓼不胜秋,霅上感怀,欲寻 旧事 游 载酒
26943,Song,贺铸,带沙畎亩几经淤|半死黄桑绕故墟|未必邻封政如虎|自甘十室九为鱼,过澶魏被水民居二首 其一,绕 虎 半死 畎亩
27050,Song,晏殊,闰秋重九再佳辰|犹见黄花裛露新|更作登高亦何害|恨无彭泽苦吟人,闰九月九日,黄花 登高 苦吟 彭泽
27112,Song,秦观,云台观者候昏明|奎壁躔中失二星|上界真人重离别|阴风一夜搅青冥,陈用之学士挽词 其三,青冥 离别 云台 真人
27231,Song,贺铸,处处春林有鸟啼|恨无芳酒一樽携|何缘复得彭城梦|日日东风送我西,早发斜沟道中寄王有元,日日 东风 送我 鸟啼
27511,Song,晏殊,鲛冰千片解华池|神水香醪满爵卮|旭日九门凝瑞露|东厢朝拜奉宸慈,立春日词 其三 东宫阁,香醪 旭日 解 华池
27575,Song,秦观,节物相催各自新|痴心儿女挽留春|芳菲歇去何须恨|夏木阴阴正可人,三月晦日偶题,儿女 芳菲 节物 阴阴
27702,Song,秦观,孤蓬短榜溯河流|无赖寒侵紫绮裘|召伯埭南春欲尽|为公重赋畔牢愁,次韵子由召伯埭见别三首 其一,牢愁 河流 孤蓬 寒侵
27945,Song,秦观,清酒一杯甜似蜜|美人双鬓黑如鸦|莫夸春色欺秋色|未信桃花胜菊花,处州闲题,春色 菊花 秋色 美人
28010,Song,秦观,仗下番夷各一群|机泉如雨自缤纷|细看香案旁边吏|却是茅家大小君,次韵东坡上元扈从三绝 其三,香案 大小 缤纷 细看
28071,Song,秦观,紫府沉沉掩夜关|竹阴清扫月中坛|岁星偷得桃枝碧|董奉栽成李子丹,和程给事赠虞道判六首 其三,岁星 紫府 沉沉 桃枝
28176,Song,晏殊,一轮霜影转庭梧|此夕羁人独向隅|未必素娥无怅恨|玉蟾清冷桂华孤,中秋月 其一,羁人 素娥 玉蟾 清冷
28654,Tang,韦庄,千山红树万山云|把酒相看日又曛|一曲骊歌两行泪|更知何处再逢君,衢州江上别李 秀才,红树 骊歌 逢君 泪
28811,Song,秦观,礼经三百鬓毛班|追述先儒伯仲间|谁请尚书重给札|尽抄遗稿入名山,陈用之学士挽词 其一,名山 班 伯仲 鬓毛
28957,Song,贺铸,晚雪漫漫没兔罝|满杯豆粥饷邻家|夜长少妇无舂织|一点青灯伴缉麻,和崔若拙四时田家词四首 其四,青灯 夜长 没 邻家
29289,Song,贺铸,楚郊十月尚闻蝉|傍道黄华亦可怜|特上西山最高处|长安应在夕阳边,登如方山,夕阳 西山 长安 黄华
29405,Song,秦观,平原居士今无影|鹦鹉空洲谁举杯|犹有渔阳掺檛鼓|为君醉后作轻雷,口号,居士 平原 鹦鹉 渔阳
29470,Song,秦观,无边刹境一毫端|同住澄清觉海间|还似此花并此叶|坏空成住未曾闲,圆通院白衣阁 其一,澄清 闲 叶 觉海
29569,Song,秦观,长安仕路与云齐|倦仆羸骖不可跻|但得玄晖曾折简|何须平子更安题,次韵参寥三首 其二,平子 玄晖 折简 长安
29630,Song,欧阳修,门无车辙紫苔侵|鸡犬萧条陋巷深|寄语弹琴潘道士|雨中寻得越江吟,赠潘道士,寄语 雨中 萧条 鸡犬
29702,Song,贺铸,陈颠俞散旧朋游|樽酒相逢定少留|衰病故情犹有在|春风一夜梦扬州,重送曾诚之兼简俞澹陈庾 其二,扬州 衰病 樽酒 春风
29955,Tang,韦庄,睦州江上水门西|荡桨扬帆各解携|今日天涯夜深坐|断肠偏忆阿银犁,忆小女银娘,天涯 扬帆 断肠 夜深
29970,Song,晏殊,黄花夹径疑无路|红叶临流巧胜春|前去重阳犹一日|不辞倾尽蚁醪醇,九月八日游涡,重阳 黄花 红叶 疑
30541,Song,晏殊,朱邸沐兰逢令节|丹廷祝寿喜嘉辰|两宫荣养多延庆|百福潜随命缕新,端午词 其一 升王 阁,逢 喜 祝寿 朱邸
31118,Song,贺铸,檐雨溅溅滴砌沙|绿丛深处一榴花|小窗隐几俄成梦|堪笑无功饭后茶,僧居对雨二首 其一,榴花 小窗 溅溅 檐雨
31363,Song,秦观,蚤虿蜂虻罪一伦|未如蚊子重堪嗔|万枝黄落风如射|犹自传呼欲噬人,冬蚊,射 黄落 重 欲
31446,Song,欧阳修,莺寒未报宫花发|风暖还催腊雪销|欲识春来自何处|先从天上斗回杓,春帖子词 皇后合五首 其四,宫花 风暖 未报 腊雪
31510,Song,晏殊,才闻太昊行新令|更祝元君望景舆|白玉龟台资寿历|千春鸿福此春初,立春日词 其三 内廷,白玉 才闻 春初 历
31576,Tang,韦庄,不向烟波狎钓舟|强亲文墨事儒丘|长安十二槐花陌|曾负秋风多少秋,惊秋,秋风 钓舟 烟波 长安
31671,Song,晏殊,三百六旬初一日|四时嘉序太平年|霓衣绛节修真箓|步武祥云奉九天,元日词 其四 内廷,祥云 绛节 步武 修真
31730,Song,贺铸,晓渡南冈五里松|精庐未见已闻钟|门前拂地垂杨柳|扫净秋来过马踪,重游梵行院,杨柳 精庐 未见 拂地
31815,Song,秦观,刀圭云母具晨餐|门对三层步斗坛|夜考鹤经分七九|晓占岁气辨黅丹,和程给事赠虞道判六首 其一,云母 门对 步 刀圭
32247,Tang,温庭筠,巩树先春雪满枝|上阳宫柳啭黄鹂|桓谭未便忘西笑|岂为长安有凤池,洛阳,雪满 凤池 长安 黄鹂
32334,Song,欧阳修,平地烟霄向此分|绣楣丹槛照清芬|风帘暮捲秋空碧|剩见西山数岭云,寄题嵩巫亭,西山 秋空 平地 清芬
32398,Song,欧阳修,阳城淀里新来雁|趁伴南飞逐越船|野岸柳黄霜正白|五更惊破客愁眠,自河北贬滁州初入汴河闻雁,南飞 野岸 客愁 阳城
32704,Song,秦观,冠盖纷纷不我谋|掩关聊与古人游|会须匹马淮西去|云𪩘风溪遂所求,次韵子由召伯埭见别三首 其三,冠盖 纷纷 匹马 掩关
33041,Song,秦观,此度春非草草回|美人休著剪刀催|直须残腊十分尽|始共新年一并来,元日立春三绝 其一,草草 残腊 新年 美人
34199,Song,晏殊,织组文缯载旧仪|晨朝丹扆奉天慈|六斋清素来多福|岁岁今辰侍宴私,端午词 其二 升王 阁,载 福 岁岁 侍宴
34319,Song,秦观,天寒水鸟自相依|十百为群戏落晖|过尽行人都不起|忽闻水响一齐飞,还自广陵四首 其四,天寒 水鸟 落晖 行人
34470,Song,欧阳修,嘉辰共喜沐兰汤|毒沴何须采艾禳|但得皋夔调鼎鼐|自然灾祲变休祥,端午帖子词 皇帝合六首 其五,皋夔 兰汤 变 调鼎
34572,Song,欧阳修,清明时节散天香|轻染鹅儿一抹黄|最是风流堪赏处|美人取作浥罗裳,酴醾,天香 风流 美人 清明
34844,Song,贺铸,彩虹桥下水关东|接畛园林狭径通|繁杏半开随半落|短墙无计碍春风,东城马上,园林 半落 桥下 春风
35411,Tang,温庭筠,蓼穗菱丛思蟪蛄|水萤江鸟满烟蒲|愁红一片风前落|池上秋波似五湖,元处士池上,落 思 秋波 愁红
35842,Tang,韦庄,主人西游去不归|满溪春雨长春薇|怪来马上诗情好|印破青山白鹭飞,题吉涧卢拾遗庄,主人 青山 春雨 白鹭
35952,Tang,温庭筠,昔年曾伴玉真游|每到仙宫即是秋|曼倩不归花落尽|满丛烟露月当楼,题河中紫极宫,仙宫 楼 昔年 花落
36051,Tang,韦庄,夜来江雨宿蓬船|卧听淋铃不忍眠|却忆紫微情调逸|阻风中酒过年年,宿蓬船,中酒 紫微 年年 卧听
36253,Song,欧阳修,叨陪法从最多年|惯听梨园奏管弦|从此无因瞻黼坐|惟应魂梦到钧天,续作永昭陵挽词五首 其五,梨园 钧天 魂梦 管弦
36447,Song,欧阳修,花光浓烂柳轻明|酌酒花前送我行|我亦且如常日醉|莫教弦管作离声,别滁,弦管 花光 酌酒 我行
36966,Song,贺铸,雀声啧啧燕飞飞|在得残红一两枝|睡思乍来还乍去|日长披卷下帘时,清燕堂,日长 残红 下帘 飞飞
37397,Song,欧阳修,银蒜钩帘宛地垂|桂丛乌起上朝晖|枉将玳瑁雕为押|遮掩春堂碍燕归,帘,燕归 钩帘 玳瑁 朝晖
37524,Song,张先,路接晓天人近月|真仙去后只云归|岭头旧曰上升日|空有山禽自在飞,飞仙岭,岭头 山禽 云归 真仙
37568,Tang,韦庄,鹿巾藜杖葛衣轻|雨歇池边晚吹清|正是如今江上好|白鳞红稻紫莼羹,雨霁池上作呈侯学士,池边 葛衣 藜杖 雨歇
37821,Song,秦观,月团新碾瀹花瓷|饮罢呼儿课楚词|风定小轩无落叶|青虫相对吐秋丝,秋日三首 其二,楚词 小轩 落叶 饮罢
37869,Song,欧阳修,日出东篱黄雀惊|雪销春动草芽生|土坡平慢陂田阔|横载童儿带犊行,牛,日出 黄雀 阔 东篱
38196,Tang,韦庄,当年此树正花开|五马仙郎载酒来|李白已亡工部死|何人堪伴玉山颓,漳亭驿小樱桃,仙郎 载酒 玉山 工部
38293,Tang,韦庄,箫韶九奏韵凄锵|曲度虽高调不伤|却见孤村明月夜|一声牛笛断人肠,村笛,箫韶 孤村 明月 人肠
38408,Song,张先,花落春禽啼晚枝|有时香蒂点人衣|多情尽不如蝴蝶|欲起遗红贴地飞,失题,多情 欲起 蝴蝶 花落
